,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
20,109,中村 忍,P: スパーコルサ,P: スパーコルサ,"1'49""039",0,"1'47""155",0,"1'47""155",114.2,2018-08-18,2018,Suzuki,C2,GSX-R1000
21,106,西村 亨,D: α13SP,D: α13SP,"1'40""795",0,"1'39""279",0,"1'39""279",112.79,2018-06-30,2018,Honda,C2,CBR600RR
22,134,西村 亨,D:α-13SP,D:α-13SP,"1'49""686",0,"1'46""530",0,"1'46""530",113.98,2020-07-12,2020,Honda,C2,CBR600RR
23,138,西村 亨,D:α-13,P:スーパーコルサ,"9'59""999",MC,"1'40""808",0,"1'40""808",124.06,2017-07-15,2017,Honda,C2,CB1300SF
24,113,西村 亨,D:α-13,D:α-13,"1'37""467",0,"1'38""021",0,"1'37""467",113.58,2019-09-28,2019,Honda,C2,CBR600RR
25,134,西村 亨,D:,α-13SP,"1'28""621",0,"1'25""149",0,"1'25""149",113.53,2018-10-20,2018,Honda,C2,CBR600RR
26,121,西村 亨,D:α-14,D:α-14,"1'35""313",0,"1'30""136",0,"1'30""136",113.08,2018-05-03,2018,Honda,C2,CBR600RR
27,127,西村 亨,D:α13-SP,D:α13-SP,"1'32""414",1,"1'29""790",0,"1'29""790",116.15,2019-06-16,2019,Honda,C2,CBR600RR
28,155,西村 亨,D:α-13SP,D:α-13SP,"1'48""712",1,"1'45""935",0,"1'45""935",112.9,2018-08-18,2018,Honda,C2,CBR600RR
29,107,藤波 生稔,D: TT93,D: TT93,"1'51""981",1,"1'48""088",0,"1'48""088",122.8,2018-06-30,2018,Honda,D2,GROM
30,108,川脇 泰宏,P: スーパーコルサV2,P: スーパーコルサV2,"1'42""652",0,"1'40""261",0,"1'40""261",113.91,2018-06-30,2018,Honda,C2,CBR400R
31,115,川脇 泰宏,P:スーパーコルサV2,P:スーパーコルサV3,"1'45""143",0,"1'44""359",0,"1'44""359",111.65,2020-07-12,2020,Suzuki,C2,GSX-R750
32,126,川脇 泰宏,D:α-13SP,P:スーパーコルサV2,"1'37""947",0,"9'59""999",MC,"1'37""947",120.54,2017-07-15,2017,Honda,C2,CBR400R
33,125,川脇 泰宏,P:スーパーコルサV2,P:スーパーコルサV3,"1'40""199",1,"1'39""149",0,"1'39""149",111.57,2021-05-04,2021,Suzuki,C2,GSX-R750
34,106,川脇 泰宏,P:スーパーコルサ,D:α13SP,"1'39""228",2,"1'35""737",2,"1'37""737",120.93,2017-11-09,2017,Honda,C2,CBR400R
35,120,川脇 泰宏,P:スーパーコルサV3,P:スーパーコルサV3,"1'35""705",0,"1'33""951",0,"1'33""951",114.01,2020-10-03,2020,Suzuki,C2,GSX-R750
36,138,川脇 泰宏,P:スーパーコルサ,V2,"1'46""456",1,"9'59""999",MC,"1'47""456",122.54,2019-11-09,2019,Suzuki,C2,GSX-R750
37,101,川脇 泰宏,P: スーパーコルサV2,P: スーパーコルサV2,"1'50""288",0,"1'51""765",1,"1'50""288",117.54,2018-08-18,2018,Suzuki,C2,GSX-R750
38,109,新田 るみ子,D: α-13SP,D:α-14(R),"1'55""523",0,"1'53""232",0,"1'53""232",128.64,2018-06-30,2018,Honda,D3,VTR250
39,138,新田 るみ子,D:α-14,D:α-14,"1'52""195",0,"1'49""065",0,"1'49""065",127.09,2019-09-28,2019,Honda,D3,VTR250
40,111,新田 るみ子,D:α-13SP,D:α-13SP,"1'45""209",0,"1'39""728",0,"1'39""728",132.97,2018-10-20,2018,Honda,D3,VTR250
41,110,新田 るみ子,D:α-14,D:α-14,"1'47""835",0,"1'47""350",0,"1'47""350",130.27,2020-10-03,2020,Honda,D3,VTR250
42,108,新田 るみ子,D:α-14,D:α-14,"1'59""477",1,"1'51""593",0,"1'51""593",127.26,2019-11-09,2019,Honda,D3,VTR250
43,117,新田 るみ子,D:α-13SP,D:α-13SP,"9'59""999",MC,"2'04""902",1,"2'05""902",134.18,2018-08-18,2018,Honda,D3,VTR250
44,111,神谷 敬志,B: s21,B: s21,"2'07""037",0,"1'56""694",0,"1'56""694",132.58,2018-06-30,2018,Suzuki,D2,Bandit1250F
45,108,神谷 敬志,D:α-14,D:α-14,"9'59""999",MC,"9'59""999",MC,-,,2020-07-12,2020,Suzuki,D2,GSX-S1000
46,110,神谷 敬志,D:Q4,D:Q4,"9'59""999",MC,"1'55""045",0,"1'55""045",129.46,2021-05-04,2021,Suzuki,D2,GSX-S1000
47,103,神谷 敬志,D:,α-14,"9'59""999",MC,"1'35""760",0,"1'35""760",127.68,2018-10-20,2018,Suzuki,D2,Bandit1250F
48,109,神谷 敬志,D:α-14,D:α-14,"1'40""403",0,"9'59""999",MC,"1'40""403",121.84,2020-10-03,2020,Suzuki,D2,GSX-S1000
49,124,神谷 敬志,D:α-14,D:α-14,"9'59""999",MC,"9'59""999",MC,"9'59""999",,2018-08-18,2018,Suzuki,D2,Bandit1250F
50,112,久保 敬映,D: α-14,D: α-14,"2'04""347",2,"1'49""885",0,"1'49""885",124.84,2018-06-30,2018,Kawasaki,C2,ZRX1200DAEG
51,140,久保 敬映,D:α-13SP,D:α-13SP,"1'39""956",0,"1'37""926",0,"1'37""926",114.11,2019-09-28,2019,Kawasaki,C2,ZRX1200DAEG
52,120,久保 敬映,D:,α-14,"1'35""105",0,"1'30""272",0,"1'30""272",120.36,2018-10-20,2018,Kawasaki,C2,ZRX1200DAEG
53,114,久保 敬映,D:α-14,D:α-14,"1'55""933",0,"2'01""212",0,"1'55""933",123.55,2018-08-18,2018,Kawasaki,C2,ZRX1200daeg
54,114,杉江 賢一,D: ロードスポーツ,D: ロードスポーツ,"9'59""999",0,"1'47""884",1,"1'48""884",123.71,2018-06-30,2018,Yamaha,D1,MT-07
55,112,杉江 賢一,D:α-14,D:α-14,"1'53""280",1,"1'51""473",0,"1'51""473",119.26,2020-07-12,2020,Yamaha,D1,MT-07
56,108,杉江 賢一,D:クオリファイアー2,D:クオリファイアー2,"9'59""999",MC,"1'49""127",0,"1'49""127",134.3,2017-07-15,2017,Yamaha,D1,MT-07
57,141,杉江 賢一,P:ロッソコルサ,P:ロッソコルサ,"1'42""338",0,"1'41""844",1,"1'42""338",119.25,2019-09-28,2019,Yamaha,D1,MT-07
58,121,杉江 賢一,D:,クオリファイヤ2,"1'34""533",0,"1'32""267",0,"1'32""267",123.02,2018-10-20,2018,Yamaha,D1,MT-07
